NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	195	0.3122721	1.4144258	0.002173913	0.061745487	0.396	2312	tags=21%, list=16%, signal=24%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	171	0.30961224	1.3714926	0.01986755	0.08603216	0.521	2284	tags=23%, list=15%, signal=27%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	176	0.30709225	1.3531659	0.020408163	0.091342084	0.569	2387	tags=26%, list=16%, signal=30%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	178	0.29573527	1.3190689	0.04904051	0.11132086	0.678	3178	tags=30%, list=21%, signal=38%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	159	0.2776233	1.2276001	0.086134456	0.22103456	0.916	2020	tags=21%, list=14%, signal=24%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	144	0.27626082	1.1951866	0.1090535	0.26846987	0.962	2351	tags=24%, list=16%, signal=28%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	173	0.2723702	1.1931771	0.110403396	0.25672016	0.964	1530	tags=16%, list=10%, signal=17%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	108	0.2830664	1.1835374	0.1431624	0.25867924	0.967	2323	tags=21%, list=16%, signal=25%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	38	0.3522201	1.1819454	0.21294363	0.24798036	0.967	2540	tags=37%, list=17%, signal=44%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	76	0.30295298	1.1793274	0.14867617	0.24097466	0.967	3338	tags=37%, list=23%, signal=47%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	155	0.2685672	1.1763068	0.137577	0.23439032	0.97	2330	tags=23%, list=16%, signal=27%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	111	0.2829667	1.162582	0.18201755	0.2496822	0.981	1662	tags=20%, list=11%, signal=22%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	132	0.2647243	1.1383957	0.18816067	0.28472966	0.994	3283	tags=32%, list=22%, signal=41%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	108	0.2770666	1.1383244	0.17886178	0.27350926	0.994	1938	tags=21%, list=13%, signal=24%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	149	0.25060698	1.0916845	0.23880596	0.35629562	1.0	1717	tags=16%, list=12%, signal=18%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	163	0.24313755	1.0735667	0.27489176	0.38715607	1.0	2063	tags=18%, list=14%, signal=20%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	94	0.26199272	1.0583758	0.33984375	0.41157228	1.0	3942	tags=29%, list=27%, signal=39%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	101	0.24677524	1.0086322	0.44351465	0.5248652	1.0	2925	tags=20%, list=20%, signal=24%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	52	0.26615843	0.9753521	0.49787235	0.59635186	1.0	3639	tags=29%, list=25%, signal=38%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	150	0.22199696	0.96187407	0.5612472	0.61603653	1.0	3373	tags=29%, list=23%, signal=38%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	175	0.2027252	0.90720606	0.7124736	0.7486454	1.0	2232	tags=17%, list=15%, signal=20%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	48	0.25499207	0.904404	0.6244635	0.73412085	1.0	1255	tags=13%, list=8%, signal=14%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	24	0.2867588	0.877877	0.6425532	0.7787661	1.0	235	tags=8%, list=2%, signal=8%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	29	0.2696551	0.8504513	0.6857143	0.81580126	1.0	1955	tags=28%, list=13%, signal=32%	
