NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	Details ...	235	0.3073721	1.4159923	0.008097166	0.25817347	0.975	2273	tags=21%, list=15%, signal=25%	
KEGG_ENDOCYTOSIS	KEGG_ENDOCYTOSIS	Details ...	164	0.32699296	1.4068197	0.008733625	0.26045248	0.98	2180	tags=20%, list=15%, signal=23%	
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS	Details ...	17	0.5030928	1.381922	0.0945674	0.28889507	0.991	3338	tags=41%, list=23%, signal=53%	
KEGG_MTOR_SIGNALING_PATHWAY	KEGG_MTOR_SIGNALING_PATHWAY	Details ...	49	0.37906057	1.3457011	0.080912866	0.34625837	0.997	696	tags=12%, list=5%, signal=13%	
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER	Details ...	295	0.2836385	1.3391764	0.00862069	0.344065	0.997	2938	tags=26%, list=20%, signal=32%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	Details ...	156	0.30227044	1.3067262	0.03815261	0.40211943	0.999	2097	tags=22%, list=14%, signal=26%	
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	Details ...	49	0.35827848	1.2680795	0.12253829	0.4832558	1.0	1389	tags=20%, list=9%, signal=22%	
KEGG_TYPE_II_DIABETES_MELLITUS	KEGG_TYPE_II_DIABETES_MELLITUS	Details ...	42	0.3629105	1.2607048	0.12636165	0.48345676	1.0	1094	tags=17%, list=7%, signal=18%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	Details ...	53	0.3400221	1.2503426	0.14814815	0.49459878	1.0	1968	tags=25%, list=13%, signal=28%	
KEGG_DORSO_VENTRAL_AXIS_FORMATION	KEGG_DORSO_VENTRAL_AXIS_FORMATION	Details ...	19	0.43822244	1.2464916	0.18623482	0.48513192	1.0	3517	tags=42%, list=24%, signal=55%	
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY	Details ...	121	0.2944404	1.2339816	0.08898305	0.5033132	1.0	2672	tags=21%, list=18%, signal=25%	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	Details ...	40	0.35639405	1.2211647	0.17094018	0.52109545	1.0	5244	tags=52%, list=35%, signal=81%	
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	Details ...	143	0.27867168	1.2102538	0.099352054	0.5343395	1.0	2024	tags=17%, list=14%, signal=20%	
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	Details ...	25	0.39020383	1.2067912	0.20206186	0.5261955	1.0	3435	tags=48%, list=23%, signal=62%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	Details ...	65	0.31700903	1.1977369	0.15889831	0.5341564	1.0	1828	tags=18%, list=12%, signal=21%	
KEGG_TASTE_TRANSDUCTION	KEGG_TASTE_TRANSDUCTION	Details ...	27	0.3779521	1.1836329	0.23076923	0.55832344	1.0	3730	tags=41%, list=25%, signal=54%	
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG_VIBRIO_CHOLERAE_INFECTION	Details ...	49	0.33022255	1.1781214	0.21095334	0.5569984	1.0	3891	tags=39%, list=26%, signal=52%	
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES	Details ...	25	0.38603705	1.1755496	0.24161074	0.54798824	1.0	2686	tags=32%, list=18%, signal=39%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	Details ...	49	0.32474163	1.1525837	0.2489712	0.5991168	1.0	2317	tags=22%, list=16%, signal=27%	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	77	0.28817615	1.1280277	0.21359223	0.65688896	1.0	2827	tags=23%, list=19%, signal=29%	
KEGG_PANCREATIC_CANCER	KEGG_PANCREATIC_CANCER	Details ...	69	0.29443866	1.121535	0.24850895	0.65940076	1.0	366	tags=9%, list=2%, signal=9%	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	Details ...	71	0.28148642	1.0930728	0.2863248	0.73690546	1.0	2944	tags=27%, list=20%, signal=33%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	Details ...	35	0.3228281	1.0863557	0.31712472	0.74107444	1.0	3959	tags=34%, list=27%, signal=47%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS	Details ...	84	0.27280697	1.0804086	0.30736843	0.74285614	1.0	2893	tags=24%, list=20%, signal=29%	
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	Details ...	20	0.37624377	1.0784175	0.34907597	0.73177516	1.0	1828	tags=30%, list=12%, signal=34%	
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	Details ...	53	0.2985962	1.0742131	0.32544377	0.7286092	1.0	2595	tags=25%, list=17%, signal=30%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM	Details ...	27	0.33543378	1.0624969	0.34541577	0.7490026	1.0	119	tags=7%, list=1%, signal=7%	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	160	0.24230537	1.0612102	0.3399123	0.7356785	1.0	3202	tags=31%, list=22%, signal=39%	
KEGG_PEROXISOME	KEGG_PEROXISOME	Details ...	76	0.27074316	1.0478232	0.35596707	0.7618992	1.0	3794	tags=29%, list=26%, signal=39%	
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	Details ...	116	0.24834429	1.0412073	0.36767676	0.7664836	1.0	3513	tags=27%, list=24%, signal=35%	
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	Details ...	60	0.27567586	1.0392256	0.37704918	0.75637114	1.0	2515	tags=27%, list=17%, signal=32%	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	Details ...	15	0.3866164	1.0367377	0.43162394	0.749077	1.0	668	tags=27%, list=5%, signal=28%	
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION	Details ...	175	0.22579849	1.015264	0.40677965	0.8037331	1.0	1336	tags=11%, list=9%, signal=12%	
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	Details ...	147	0.23331076	1.015022	0.41563785	0.7886657	1.0	2039	tags=16%, list=14%, signal=19%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE		25	0.3224597	0.99218935	0.46021506	0.84671116	1.0	4385	tags=40%, list=30%, signal=57%	
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY		51	0.27471182	0.99124914	0.47991544	0.8338799	1.0	2349	tags=20%, list=16%, signal=23%	
KEGG_NOTCH_SIGNALING_PATHWAY	KEGG_NOTCH_SIGNALING_PATHWAY		46	0.2776971	0.99087095	0.4647577	0.8194209	1.0	4043	tags=46%, list=27%, signal=63%	
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION		39	0.29042196	0.9898782	0.500994	0.80777055	1.0	2919	tags=31%, list=20%, signal=38%	
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY		26	0.31498092	0.98653364	0.47126436	0.8030587	1.0	1629	tags=23%, list=11%, signal=26%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM		28	0.30633673	0.98636603	0.47826087	0.7891323	1.0	1389	tags=21%, list=9%, signal=24%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES		45	0.2817776	0.9859867	0.46741572	0.7763133	1.0	1166	tags=16%, list=8%, signal=17%	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION		61	0.26106307	0.9854923	0.46025103	0.7643171	1.0	3766	tags=30%, list=25%, signal=39%	
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY		66	0.26021934	0.9822203	0.49176955	0.76069564	1.0	2482	tags=18%, list=17%, signal=22%	
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM		35	0.29517278	0.97643757	0.48775056	0.7647722	1.0	774	tags=11%, list=5%, signal=12%	
KEGG_GNRH_SIGNALING_PATHWAY	KEGG_GNRH_SIGNALING_PATHWAY		84	0.24646328	0.9758555	0.5058594	0.754027	1.0	1829	tags=15%, list=12%, signal=18%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY		129	0.229232	0.9658283	0.5252101	0.7697631	1.0	1955	tags=13%, list=13%, signal=15%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE		152	0.21976459	0.9648484	0.5548654	0.76042557	1.0	518	tags=5%, list=3%, signal=5%	
KEGG_LYSOSOME	KEGG_LYSOSOME		111	0.22922964	0.9614289	0.5382979	0.757672	1.0	3468	tags=32%, list=23%, signal=41%	
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY		115	0.2280694	0.96027803	0.5226782	0.7495013	1.0	1251	tags=9%, list=8%, signal=9%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT		23	0.31060028	0.9516898	0.5443299	0.76238817	1.0	3900	tags=30%, list=26%, signal=41%	
KEGG_REGULATION_OF_AUTOPHAGY	KEGG_REGULATION_OF_AUTOPHAGY		20	0.32528472	0.9371771	0.5466102	0.78965324	1.0	3757	tags=30%, list=25%, signal=40%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION		70	0.22873911	0.8841129	0.69772255	0.92086965	1.0	3919	tags=37%, list=26%, signal=50%	
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS		19	0.30323112	0.8644377	0.65611815	0.9591811	1.0	3753	tags=37%, list=25%, signal=49%	
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER		84	0.21624456	0.8634914	0.7750557	0.947804	1.0	2893	tags=25%, list=20%, signal=31%	
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON		180	0.19209908	0.85772204	0.82580644	0.94839966	1.0	2534	tags=17%, list=17%, signal=21%	
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY		67	0.22063586	0.85453135	0.7303371	0.9427339	1.0	2556	tags=18%, list=17%, signal=22%	
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY		62	0.22514716	0.853592	0.747412	0.93211573	1.0	2556	tags=21%, list=17%, signal=25%	
KEGG_OTHER_GLYCAN_DEGRADATION	KEGG_OTHER_GLYCAN_DEGRADATION		16	0.31296423	0.851524	0.6565875	0.9242773	1.0	3123	tags=44%, list=21%, signal=55%	
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION		19	0.29543218	0.8445621	0.678	0.92767525	1.0	3175	tags=37%, list=21%, signal=47%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY		74	0.21739423	0.8401635	0.79049677	0.92537516	1.0	2103	tags=20%, list=14%, signal=24%	
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY		83	0.20705606	0.8398739	0.7995546	0.9139316	1.0	818	tags=8%, list=6%, signal=9%	
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY		53	0.22858112	0.83693403	0.76666665	0.9087296	1.0	2465	tags=19%, list=17%, signal=23%	
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY		78	0.21237148	0.8325225	0.8013245	0.9063719	1.0	3202	tags=26%, list=22%, signal=33%	
KEGG_NON_SMALL_CELL_LUNG_CANCER	KEGG_NON_SMALL_CELL_LUNG_CANCER		54	0.22501834	0.82890767	0.7852632	0.9024597	1.0	809	tags=9%, list=5%, signal=10%	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS		82	0.20958431	0.82088625	0.8368644	0.9073978	1.0	2892	tags=24%, list=19%, signal=30%	
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS		45	0.23703425	0.8182421	0.7983539	0.90140146	1.0	2390	tags=22%, list=16%, signal=26%	
KEGG_O_GLYCAN_BIOSYNTHESIS	KEGG_O_GLYCAN_BIOSYNTHESIS		22	0.26793656	0.8148029	0.74696356	0.8971563	1.0	2937	tags=32%, list=20%, signal=40%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE		116	0.18172535	0.7573761	0.9539749	0.97703445	1.0	444	tags=4%, list=3%, signal=4%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE		19	0.2577139	0.7486623	0.81724846	0.9766632	1.0	2641	tags=26%, list=18%, signal=32%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION		92	0.18150008	0.7303344	0.96666664	0.98643535	1.0	2556	tags=18%, list=17%, signal=22%	
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER		50	0.19267671	0.70045173	0.9498956	1.0	1.0	366	tags=6%, list=2%, signal=6%	
KEGG_LONG_TERM_POTENTIATION	KEGG_LONG_TERM_POTENTIATION		58	0.18145499	0.6800292	0.9574468	1.0	1.0	1775	tags=12%, list=12%, signal=14%	
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY		90	0.16424575	0.65899706	0.9916667	1.0	1.0	3283	tags=21%, list=22%, signal=27%	
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS		87	0.15858874	0.62854666	0.99572647	1.0	1.0	3795	tags=26%, list=26%, signal=35%	
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION		98	0.14806145	0.60408837	0.9978261	1.0	1.0	3112	tags=18%, list=21%, signal=23%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE		166	0.12243787	0.538728	1.0	1.0	1.0	444	tags=3%, list=3%, signal=3%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION		121	0.12128674	0.49948713	1.0	0.9973359	1.0	990	tags=4%, list=7%, signal=4%	
