ENSEMBL	ENTREZID	SYMBOL	GENENAME	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000037573	22057	Tob1	transducer of ErbB-2.1	6444.53334922209	-1.72016731299772	0.0612204220450223	-28.0948815693089	1.13133031217048e-173	1.16142369847422e-170
ENSMUSG00000028494	11520	Plin2	perilipin 2	41923.785831071	-1.54702048472666	0.0552342311737456	-28.0076802817972	1.30998765968532e-172	1.28079364898377e-169
ENSMUSG00000031453	19414	Rasa3	RAS p21 protein activator 3	10669.8364811997	1.28936471258595	0.0468519421455219	27.5199164046059	1.01431000205971e-166	9.46627861922272e-164
ENSMUSG00000022853	74147	Ehhadh	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	1429.01201583929	-1.78571962542732	0.0652101878712158	-27.3680072021533	6.59383089861925e-165	5.88628417436741e-162
ENSMUSG00000045973	230125	Slc25a51	solute carrier family 25, member 51	5062.80165544854	-1.49107689217234	0.0546649781319603	-27.2736088921837	8.72361311479099e-164	7.46305101970369e-161
ENSMUSG00000025059	14933	Gk	glycerol kinase	1512.56005884771	-2.61616611811139	0.0966404231431843	-27.0385730649705	5.2047114376964e-161	4.2745254095513e-158
ENSMUSG00000005667	17768	Mthfd2	methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	1911.79004434955	-1.87951901171082	0.070091579893815	-26.8027043932529	3.00501317315452e-158	2.37303578735418e-155
ENSMUSG00000033871	170826	Ppargc1b	peroxisome proliferative activated receptor, gamma, coactivator 1 beta	523.612851099296	-2.88909605868912	0.108287624704919	-26.5483323001214	2.68463117625849e-155	2.04151286336813e-152
ENSMUSG00000025537	18682	Phkg1	phosphorylase kinase gamma 1	654.406389077013	3.0385029288419	0.113760038579608	26.3891029748402	1.82753477186096e-153	1.34010514056604e-150
ENSMUSG00000030878	12585	Cdr2	cerebellar degeneration-related 2	1470.03870576864	-1.87762469058723	0.0714738707835135	-26.2532213687829	6.5672310977941e-152	4.64959961723822e-149
ENSMUSG00000032135	84004	Mcam	melanoma cell adhesion molecule	3084.94844969792	1.8049556530779	0.069374101724905	26.0131948310185	3.51190481655568e-149	2.40354765645071e-146
ENSMUSG00000023905	27279	Tnfrsf12a	tumor necrosis factor receptor superfamily, member 12a	2205.40678475973	-1.89199988920021	0.0736415666780864	-25.6802707733376	1.9418865785491e-145	1.28615533002485e-142
ENSMUSG00000010095	17254	Slc3a2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	5757.03548885172	-1.99520291478238	0.0787952097534169	-25.3154860648386	2.15721659029774e-141	1.38412409474979e-138
ENSMUSG00000033453	235130	Adamts15	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15	1242.67765851651	1.93868903310385	0.0774309764106786	25.0115564568165	4.57699708373298e-138	2.84772436736986e-135
ENSMUSG00000012428	117167	Steap4	STEAP family member 4	34880.8844895009	2.00964004029274	0.0819508960916806	24.5249888271947	7.99758206240933e-133	4.82959867368789e-130
ENSMUSG00000026456	72017	Cyb5r1	cytochrome b5 reductase 1	2356.63065287732	-1.72211650238827	0.0707861040201375	-24.3203305137144	1.19486875358639e-130	7.0094414996102e-128
ENSMUSG00000042429	11539	Adora1	adenosine A1 receptor	3272.13963520286	2.1744204413345	0.0904791831680407	24.0297386650709	1.35978791881195e-127	7.75532376362416e-125
ENSMUSG00000038894	384783	Irs2	insulin receptor substrate 2	4726.33920878549	-1.94858157707216	0.0817871908793673	-23.8184491000829	2.15086712542522e-125	1.1935568599792e-122
ENSMUSG00000025007	56454	Aldh18a1	aldehyde dehydrogenase 18 family, member A1	1808.22417098265	-1.63845709404365	0.0688975613463985	-23.7710705914685	6.65398198283141e-125	3.59525152819722e-122
ENSMUSG00000024190	19252	Dusp1	dual specificity phosphatase 1	2067.36851276593	-2.38000608071106	0.100123495603882	-23.7530378338477	1.02212313142052e-124	5.38108516264772e-122
ENSMUSG00000038754	12686	Elovl3	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3	503.583833451616	-3.43887227334604	0.144732616094261	-23.563894118428	9.04410815565862e-123	4.64234071629957e-120
ENSMUSG00000021226	171210	Acot2	acyl-CoA thioesterase 2	1487.76704866305	-2.38810987030715	0.10165320953133	-23.4687332442527	8.51128966941478e-122	4.26228779249815e-119
ENSMUSG00000040435	17872	Ppp1r15a	protein phosphatase 1, regulatory subunit 15A	1912.3892392118	-1.89074268294388	0.0827572618169434	-22.8342587132019	2.09517708385769e-115	1.02424228299443e-112
ENSMUSG00000019577	27273	Pdk4	pyruvate dehydrogenase kinase, isoenzyme 4	16388.7368757471	-2.03293159067396	0.0906551351376212	-22.4198521681193	2.5202090840958e-111	1.20337053289895e-108
ENSMUSG00000031710	22227	Ucp1	uncoupling protein 1 (mitochondrial, proton carrier)	135.704909277964	-5.09687628252008	0.205814435669216	-22.3578553072435	1.01263270900863e-110	4.72531245031028e-108
ENSMUSG00000091971	193740	Hspa1a	heat shock protein 1A	555.931135077682	-2.18139616277196	0.0974711313953725	-22.3273164883009	2.00617753784167e-110	9.15351937932558e-108
ENSMUSG00000024401	21926	Tnf	tumor necrosis factor	570.976290658487	3.43858725627587	0.1518312988964	21.8643410314166	5.67792633113838e-106	2.5343300745855e-103
ENSMUSG00000045975	207781	C2cd2	C2 calcium-dependent domain containing 2	1661.14451502873	1.39308496652103	0.0639282893897744	21.7868437835738	3.09243972874936e-105	1.35093558533366e-102
ENSMUSG00000032802	76650	Srxn1	sulfiredoxin 1 homolog (S. cerevisiae)	4968.00839699539	-1.19815751344516	0.0554267333571634	-21.6149301875768	1.29998974691752e-103	5.56070614243969e-101
ENSMUSG00000028542	14664	Slc6a9	solute carrier family 6 (neurotransmitter transporter, glycine), member 9	953.057936921546	-1.82114829312079	0.0850414485013871	-21.3947678429102	1.49471903876172e-101	6.26317781711338e-99
ENSMUSG00000026615	107508	Eprs	glutamyl-prolyl-tRNA synthetase	10706.519261781	-1.35583903385585	0.0638264788755075	-21.2413615865595	3.96237041505728e-100	1.62710778723912e-97
ENSMUSG00000028179	107869	Cth	cystathionase (cystathionine gamma-lyase)	417.793791089924	-2.43289209148201	0.114170885477953	-21.223382501335	5.80909111346209e-100	2.33867174003144e-97
ENSMUSG00000032279	67834	Idh3a	isocitrate dehydrogenase 3 (NAD+) alpha	9427.13171082025	-1.21977084633422	0.0577398898166972	-21.1248045960675	4.7056874698954e-99	1.85802259869024e-96
ENSMUSG00000029752	27053	Asns	asparagine synthetase	4413.23957958349	-1.27075220377556	0.0605007796097365	-21.0018158718966	6.31261129550449e-98	2.44548179470374e-95
ENSMUSG00000063558	11761	Aox1	aldehyde oxidase 1	4448.95912249024	1.23963500674197	0.0590884157627551	20.9801927997195	9.94892907942887e-98	3.78280392331173e-95
ENSMUSG00000078234	242721	Klhdc7a	kelch domain containing 7A	610.78224514434	2.10268238662385	0.09997365204782	20.9581686329653	1.58052037239729e-97	5.90022623382932e-95
ENSMUSG00000029201	22235	Ugdh	UDP-glucose dehydrogenase	7634.19871164492	-1.59936107200138	0.0763542355593216	-20.9429227685646	2.17686931348779e-97	7.98133584723772e-95
ENSMUSG00000000982	20302	Ccl3	chemokine (C-C motif) ligand 3	1500.43999903628	1.75601924601164	0.0838592387877001	20.9321587125069	2.728555630645e-97	9.82854459796546e-95
ENSMUSG00000033965	20502	Slc16a2	solute carrier family 16 (monocarboxylic acid transporters), member 2	1973.83787116364	1.37176763327221	0.0655736102103771	20.9157573504504	3.84869497221929e-97	1.36243802016563e-94
ENSMUSG00000026864	14828	Hspa5	heat shock protein 5	36217.3358766486	-1.18235643621581	0.0567204753405745	-20.844817977791	1.69853406451194e-96	5.91089854450155e-94
ENSMUSG00000031489	11556	Adrb3	adrenergic receptor, beta 3	13263.4161572561	2.85697832404978	0.137616978178778	20.7836875045838	6.08042280451767e-96	2.08072068370595e-93
ENSMUSG00000029314	231510	Gpat3	glycerol-3-phosphate acyltransferase 3	1389.67187267017	-1.76929284867651	0.0856034470235451	-20.6567612467028	8.48692896070813e-95	2.85661681018458e-92
ENSMUSG00000035983	629820	Gm7008	predicted gene 7008	779.10126933983	-3.06891026310158	0.14853312342613	-20.5749609371284	4.60100758735126e-94	1.52367560941123e-91
ENSMUSG00000055538	71918	Zcchc24	zinc finger, CCHC domain containing 24	8489.00883523875	1.03538146689923	0.0504953694458307	20.504851788302	1.9486228724121e-93	6.35065473275639e-91
ENSMUSG00000022479	22337	Vdr	vitamin D (1,25-dihydroxyvitamin D3) receptor	441.275991770471	-2.03838161240695	0.0991571472915265	-20.5018904286545	2.07090252227468e-93	6.64371415427245e-91
ENSMUSG00000038508	23886	Gdf15	growth differentiation factor 15	1193.08054614418	-2.95371136327742	0.144230311690301	-20.4124664444922	1.29577951877711e-92	4.09306847377408e-90
ENSMUSG00000027075	72401	Slc43a1	solute carrier family 43, member 1	1373.24413995884	1.98692886552497	0.0973397948020057	20.3986719246305	1.7181880859046e-92	5.34512693633232e-90
ENSMUSG00000063889	12916	Crem	cAMP responsive element modulator	808.66326695291	-1.60367400467333	0.0790113239872731	-20.2777535842413	2.02155117633537e-91	6.19499832127132e-89
ENSMUSG00000004043	20850	Stat5a	signal transducer and activator of transcription 5A	3376.43103659897	1.50479968064675	0.0742881307252884	20.2563837960209	3.12057546414691e-91	9.42230226909769e-89
ENSMUSG00000005360	20512	Slc1a3	solute carrier family 1 (glial high affinity glutamate transporter), member 3	4218.29170023549	1.80090406971089	0.0895296485056939	20.1165975448298	5.28101008350495e-90	1.57144491354382e-87
ENSMUSG00000025083	226250	Afap1l2	actin filament associated protein 1-like 2	394.911408163507	2.40798666623565	0.11902671279022	20.0956176224748	8.06053812895547e-90	2.36427098376734e-87
ENSMUSG00000102918	93706	Pcdhgc3	protocadherin gamma subfamily C, 3	11849.5650725218	1.14515082380882	0.0570521471698965	20.0728272548228	1.27538899003784e-89	3.6882094004869e-87
ENSMUSG00000018398	20362	Septin8	septin 8	9746.61965844261	1.10639397151541	0.0552696176520482	20.017992569638	3.83878933607244e-89	1.09469475900332e-86
ENSMUSG00000024014	18712	Pim1	proviral integration site 1	2536.54696819379	-1.98015457559878	0.0991110552393658	-19.9671601429952	1.063295575199e-88	2.99062804794326e-86
ENSMUSG00000040133	381413	Gpr176	G protein-coupled receptor 176	1285.38103373295	-1.77806005391843	0.0892515572342013	-19.9075062782937	3.50324365570322e-88	9.72008091066197e-86
ENSMUSG00000020653	194655	Klf11	Kruppel-like factor 11	701.47224798379	-1.7271957237443	0.0866695951018707	-19.9033506041641	3.80614742212378e-88	1.0419709182806e-85
ENSMUSG00000031722	15439	Hp	haptoglobin	203408.072787452	1.50164724541352	0.075916292486927	19.7813338039842	4.31134533701367e-87	1.16474397973111e-84
ENSMUSG00000041313	11987	Slc7a1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	1770.72702451927	-1.98566785989004	0.100936570641989	-19.6594622869531	4.79785211693563e-86	1.2793441514925e-83
ENSMUSG00000004266	15170	Ptpn6	protein tyrosine phosphatase, non-receptor type 6	451.170578684747	2.62279469377881	0.132508669887504	19.5386704207541	5.15064800533468e-85	1.35580903648117e-82
ENSMUSG00000042834	27528	Nrep	neuronal regeneration related protein	533.259308379519	2.14538125892851	0.109383690597399	19.5350685202695	5.52716929699583e-85	1.43650430387238e-82
ENSMUSG00000030161	57436	Gabarapl1	gamma-aminobutyric acid (GABA) A receptor-associated protein-like 1	10155.7136814131	-1.28641813914353	0.0659195025930827	-19.5136998813755	8.39783647174406e-85	2.15530473047311e-82
ENSMUSG00000022462	67760	Slc38a2	solute carrier family 38, member 2	8364.69066008861	-1.40684490950977	0.0726868602912023	-19.3530715196402	1.92048788583682e-83	4.86808114469155e-81
ENSMUSG00000023068	52014	Nus1	NUS1 dehydrodolichyl diphosphate synthase subunit	6929.18536241715	-1.02511412962175	0.0530110936386185	-19.3368367136063	2.6312937342191e-83	6.5885027989008e-81
ENSMUSG00000005069	19305	Pex5	peroxisomal biogenesis factor 5	5193.36268236662	-1.36357394736161	0.0711933368003004	-19.1512292280981	9.45289201658332e-82	2.33839492631914e-79
ENSMUSG00000092035	170676	Peg10	paternally expressed 10	1419.92258336086	-1.94392855977037	0.101906378046126	-19.0601278209019	5.41423912228067e-81	1.32339473403175e-78
ENSMUSG00000020038	12952	Cry1	cryptochrome 1 (photolyase-like)	705.469222684687	-1.4274977233269	0.0749064437806548	-19.0409882820986	7.8041095609382e-81	1.88510561770804e-78
ENSMUSG00000034903	319876	Cobll1	Cobl-like 1	2296.1050334478	-1.784182498068	0.0937978759394395	-19.0135592204224	1.3170565283691e-80	3.14439588842725e-78
ENSMUSG00000054619	70152	Mettl7a1	methyltransferase like 7A1	1407.18490709393	1.58147620309162	0.0835842847231988	18.9184700325948	8.03533303884248e-80	1.89633859716683e-77
ENSMUSG00000001964	13726	Emd	emerin	1313.63677070185	-1.28890164130434	0.0681524692967908	-18.9045723410608	1.04584029062113e-79	2.44013555079922e-77
ENSMUSG00000039959	215114	Hip1	huntingtin interacting protein 1	2217.33314234672	2.01130110276191	0.1064681705159	18.8850008541175	1.51535514180476e-79	3.49587323275678e-77
ENSMUSG00000042451	53311	Mybph	myosin binding protein H	837.104151835255	2.11664594998681	0.112306686374672	18.812055126699	6.01597260958052e-79	1.37244388466564e-76
ENSMUSG00000028300	73205	C9orf72	C9orf72, member of C9orf72-SMCR8 complex	4575.76297761693	-1.32038585956531	0.0703907347322957	-18.7563309862839	1.71861015887355e-78	3.87763777824085e-76
ENSMUSG00000024587	70223	Nars	asparaginyl-tRNA synthetase	8126.22202632477	-1.09592404834181	0.0584677292344777	-18.7431767971056	2.20086696361907e-78	4.91176092358986e-76
ENSMUSG00000049241	243270	Hcar1	hydrocarboxylic acid receptor 1	402.153337214106	2.42255400591034	0.127513722350434	18.7342115153923	2.60471894544649e-78	5.75054724601155e-76
ENSMUSG00000058672	22151	Tubb2a	tubulin, beta 2A class IIA	782.521378813275	-2.15483160595382	0.114845453915653	-18.7314148968306	2.74522149744281e-78	5.99626465803146e-76
ENSMUSG00000010755	27267	Cars	cysteinyl-tRNA synthetase	2205.67151281085	-1.22875219720254	0.065661355543223	-18.7096813265545	4.12836120544063e-78	8.92247497580075e-76
ENSMUSG00000039092	228677	Sptlc3	serine palmitoyltransferase, long chain base subunit 3	180.650433093399	-2.77619415712599	0.146614262738556	-18.6923767679435	5.7111116410999e-78	1.22146400224024e-75
ENSMUSG00000008153	232370	Clstn3	calsyntenin 3	278.195572552207	-2.86015134153899	0.152188866237439	-18.5985584879537	3.30064354246337e-77	6.98647558905752e-75
ENSMUSG00000065954	320165	Tacc1	transforming, acidic coiled-coil containing protein 1	9707.70871413735	1.46992027492212	0.0798377044254582	18.4119452467298	1.05369040609215e-75	2.20758892019225e-73
ENSMUSG00000030827	56636	Fgf21	fibroblast growth factor 21	92.0568980652569	-4.0820629319495	0.206864854829982	-18.3966692508581	1.39691745182749e-75	2.89712213342648e-73
ENSMUSG00000034765	240672	Dusp5	dual specificity phosphatase 5	399.192749732882	-2.05040120840567	0.111940533423037	-18.256122804498	1.84968774227718e-74	3.79777887244351e-72
ENSMUSG00000021356	16364	Irf4	interferon regulatory factor 4	225.899542815827	-2.92450831234773	0.159279866189571	-18.1210672641552	2.17337958512673e-73	4.41820095463584e-71
ENSMUSG00000052353	80982	Cemip	cell migration inducing protein, hyaluronan binding	1237.87373138536	-2.41897129069919	0.13336524193438	-18.1116317089437	2.57986968701786e-73	5.19312592292653e-71
ENSMUSG00000032350	14629	Gclc	glutamate-cysteine ligase, catalytic subunit	2194.95170585022	-1.52992561826229	0.0844574703251185	-18.1085048530813	2.73064565028663e-73	5.44326373705681e-71
ENSMUSG00000039982	207521	Dtx4	deltex 4, E3 ubiquitin ligase	4432.1556133347	1.22181799310276	0.0675287610738033	18.0939617017506	3.55581987078783e-73	7.02000899875152e-71
ENSMUSG00000011179	18263	Odc1	ornithine decarboxylase, structural 1	1094.89061728242	-1.52232382284767	0.0841447564107572	-18.0805820647837	4.53271938398005e-73	8.86340898970271e-71
ENSMUSG00000000594	14667	Gm2a	GM2 ganglioside activator protein	7725.73837923166	1.16961305629245	0.0647612905271161	18.059894281518	6.59487731112725e-73	1.27741529200061e-70
ENSMUSG00000031026	330627	Trim66	tripartite motif-containing 66	430.593359581909	-2.24855859784003	0.124499116792904	-18.0014487640737	1.8978882643618e-72	3.6418169947548e-70
ENSMUSG00000024042	17691	Sik1	salt inducible kinase 1	1802.90899183129	-2.14999534350501	0.119555562047335	-17.9647170300244	3.68150552159459e-72	6.99895105272039e-70
ENSMUSG00000028156	13684	Eif4e	eukaryotic translation initiation factor 4E	1731.9051227066	-1.20551912659067	0.0674262948051378	-17.8748186753042	1.85276716477562e-71	3.49000141533698e-69
ENSMUSG00000039994	21853	Timeless	timeless circadian clock 1	989.03166537229	1.65783988722258	0.0928013147277987	17.8538270948951	2.69891127849247e-71	5.03764057909157e-69
ENSMUSG00000030707	12721	Coro1a	coronin, actin binding protein 1A	367.92667578044	2.61218140540757	0.144541498591817	17.8300683360796	4.12916158428053e-71	7.63783294130161e-69
ENSMUSG00000030956	77938	Fam53b	family with sequence similarity 53, member B	2184.71604273658	1.41240890184025	0.0795990637846979	17.7453292369666	1.87299196604558e-70	3.43359562918284e-68
ENSMUSG00000001739	60363	Cldn15	claudin 15	775.174882330479	1.9268606607559	0.108720558985454	17.6995105376386	4.22967225627277e-70	7.68527705891969e-68
ENSMUSG00000024589	83814	Nedd4l	neural precursor cell expressed, developmentally down-regulated gene 4-like	1487.12086038963	-1.11494711573225	0.0629852449540412	-17.6966538776813	4.44972505185424e-70	8.01418901444485e-68
ENSMUSG00000001700	107022	Gramd3	GRAM domain containing 3	671.435618435127	-1.58682829868504	0.0896214413095681	-17.6869133435489	5.28946356599502e-70	9.44376225539215e-68
ENSMUSG00000026043	12825	Col3a1	collagen, type III, alpha 1	147194.861435312	0.745091026571268	0.042188391170722	17.6610326191145	8.36944163551985e-70	1.48139116948701e-67
ENSMUSG00000021978	54616	Extl3	exostosin-like glycosyltransferase 3	6832.73410369014	0.924940737928945	0.0525200598791067	17.611974974442	1.99365853311484e-69	3.49861512836871e-67
ENSMUSG00000028150	19885	Rorc	RAR-related orphan receptor gamma	1005.85850922815	1.34354849839736	0.0762686511267373	17.6110477046898	2.02658953588134e-69	3.52626579243354e-67
ENSMUSG00000024640	107272	Psat1	phosphoserine aminotransferase 1	4368.93055539221	-1.13164552446708	0.0645578479587035	-17.5279174843975	8.77240199903817e-69	1.51357107432144e-66
ENSMUSG00000034667	73192	Xpot	exportin, tRNA (nuclear export receptor for tRNAs)	3491.77952684647	-0.94144395978225	0.0537394844264524	-17.517286015933	1.05751243592466e-68	1.80940377786709e-66
ENSMUSG00000038418	13653	Egr1	early growth response 1	1637.43077444623	-1.16698617251931	0.0667006793398118	-17.492078593857	1.64641154165879e-68	2.79372907217671e-66
ENSMUSG00000037887	18218	Dusp8	dual specificity phosphatase 8	447.361517297271	-2.29202070712553	0.130581216778722	-17.4909724576979	1.67868195817767e-68	2.82513917748392e-66
ENSMUSG00000032883	74205	Acsl3	acyl-CoA synthetase long-chain family member 3	1375.18967854179	-1.76858062715392	0.101139165312099	-17.4759586212127	2.18443244783438e-68	3.64640382267767e-66
ENSMUSG00000078588	381546	Ccdc24	coiled-coil domain containing 24	512.36681749226	-1.7326468850271	0.0990316374097272	-17.4665089667845	2.57793979145092e-68	4.26856933855406e-66
ENSMUSG00000034460	20474	Six4	sine oculis-related homeobox 4	292.706010331681	-1.89636567629763	0.108195771479246	-17.4640045295732	2.69358671998344e-68	4.424377802776e-66
ENSMUSG00000022346	17869	Myc	myelocytomatosis oncogene	2388.77514896821	-1.13161821610448	0.0648088583130281	-17.4578972938427	2.99774191314191e-68	4.8848918222722e-66
ENSMUSG00000029096	78558	Htra3	HtrA serine peptidase 3	5222.80763795775	1.37396384148852	0.0787501656412851	17.4459436827049	3.69563835160563e-68	5.97471233347769e-66
ENSMUSG00000008435	108841	Rdh13	retinol dehydrogenase 13 (all-trans and 9-cis)	852.780416625912	-1.52197501688501	0.087189752144903	-17.4428817872668	3.89908010998378e-68	6.25436818892086e-66
ENSMUSG00000021998	18826	Lcp1	lymphocyte cytosolic protein 1	2542.7587341577	1.54737205092604	0.0888561481448073	17.4139880534176	6.46213866811836e-68	1.02853202429307e-65
ENSMUSG00000023036	93707	Pcdhgc4	protocadherin gamma subfamily C, 4	7384.47007306092	0.996904993473449	0.0573287832149046	17.3903283257839	9.76731298300714e-68	1.54263438590079e-65
ENSMUSG00000031352	15159	Hccs	holocytochrome c synthetase	1316.91053857882	-1.40097147699231	0.0805457503059256	-17.3869185288435	1.03659655177501e-67	1.62468705351484e-65
ENSMUSG00000009633	14373	G0s2	G0/G1 switch gene 2	11846.9006757364	1.64233863563583	0.0946490986741108	17.3546981051618	1.81753351328273e-67	2.8270907647516e-65
ENSMUSG00000019066	19340	Rab3d	RAB3D, member RAS oncogene family	3037.58740899492	1.22161973970098	0.0705836135999862	17.3095751061297	3.98343587696063e-67	6.14946657336509e-65
ENSMUSG00000039361	233489	Picalm	phosphatidylinositol binding clathrin assembly protein	14166.7733783661	-1.58118685157009	0.0914232144973214	-17.2927835667821	5.33144511651964e-67	8.16904709943144e-65
ENSMUSG00000015837	18412	Sqstm1	sequestosome 1	25353.1874224124	-1.09194171437239	0.0631585906786168	-17.2882379940767	5.76888469549095e-67	8.70931915939854e-65
ENSMUSG00000103567	93713	Pcdhga5	protocadherin gamma subfamily A, 5	7459.66071111359	0.965581729376242	0.0558544000593289	17.288502032839	5.74252377780942e-67	8.70931915939854e-65
ENSMUSG00000090877	15511	Hspa1b	heat shock protein 1B	1378.23492810837	-1.46665590094077	0.0848750733868729	-17.2723489970063	7.5985598023614e-67	1.13878561943127e-64
ENSMUSG00000041548	80888	Hspb8	heat shock protein 8	4029.17929300801	-1.00407480389451	0.0581939225504089	-17.2526946361688	1.06800082172795e-66	1.58899948345785e-64
ENSMUSG00000031785	14766	Adgrg1	adhesion G protein-coupled receptor G1	314.396153864255	1.98222653791217	0.114337306951067	17.2391421359239	1.35025635041755e-66	1.99449376883259e-64
ENSMUSG00000038539	107503	Atf5	activating transcription factor 5	9168.36367003293	-1.69717378756032	0.0986316780654458	-17.2047842299521	2.4448574773716e-66	3.56012863300665e-64
ENSMUSG00000002997	19088	Prkar2b	protein kinase, cAMP dependent regulatory, type II beta	7669.76794525389	-1.0811814665259	0.0628644647242049	-17.1983949533003	2.72989053294502e-66	3.94719101566389e-64
ENSMUSG00000018930	20303	Ccl4	chemokine (C-C motif) ligand 4	472.504462383949	2.4961241624847	0.14436364567786	17.1544471715031	5.82214453078743e-66	8.35945954588304e-64
ENSMUSG00000102543	93708	Pcdhgc5	protocadherin gamma subfamily C, 5	7468.64421946905	0.976979161954452	0.0571319883281658	17.1014377457787	1.44787958879224e-65	2.06443498035293e-63
ENSMUSG00000071847	494504	Apcdd1	adenomatosis polyposis coli down-regulated 1	1405.6676535713	1.46692627693774	0.0858451019944915	17.0865875535239	1.86789550279257e-65	2.64494003195428e-63
ENSMUSG00000051439	12475	Cd14	CD14 antigen	2547.65016541298	-1.59126154827871	0.0933153412713457	-17.0466318333746	3.70264132375071e-65	5.20702956570203e-63
ENSMUSG00000102440	93717	Pcdhga9	protocadherin gamma subfamily A, 9	7318.72109965324	0.977774952262105	0.0573694245737306	17.0445540560151	3.83659192754604e-65	5.35870105145409e-63
ENSMUSG00000104063	93704	Pcdhgb7	protocadherin gamma subfamily B, 7	7361.6567141131	0.975326762780874	0.057279100569916	17.0286765607776	5.03296302456401e-65	6.93535549129854e-63
ENSMUSG00000021250	14281	Fos	FBJ osteosarcoma oncogene	427.087968755222	-1.72191544540861	0.100962566309948	-17.0196816555519	5.86888422374468e-65	8.03332872546171e-63
ENSMUSG00000028347	230157	Tmeff1	transmembrane protein with EGF-like and two follistatin-like domains 1	1748.45817833844	-1.23294450216201	0.0725430066608399	-16.9916643005669	9.4664582425758e-65	1.28718755388455e-62
