category	-log10(pvalue)	zscore	ratio	molecules	direction
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	2.16	-0.801	0.629	BCL10, Calm1 (includes others), CD3G, CD80, CHP1, HRAS, IKBKB, IKBKG, JUN, KRAS, MAP2K1, MAP2K7, MAP3K1, MAPK12, MAPK3, MAPK8, MRAS, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, NRAS, PABPC4, PPP3CA, PPP3CB, PPP3R1, PRKCQ, RALA, RELA, RRAS, SMAD3, SMAD4, TGFB1, TGFB2, TGFB3, TGFBR2, TOB1		negative
Type II Diabetes Mellitus Signaling	2.12	0.493	0.594	ABCC8, ACSL1, ACSL3, ACSL5, ACSL6, ADIPOR1, ADIPOR2, AKT1, AKT2, AKT3, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, IKBKB, IKBKG, INSR, IRS1, IRS2, ITPR2, MAP2K7, MAP3K1, MAP3K5, MAPK12, MAPK3, MAPK8, MTOR, NFKB1, NFKBIA, NFKBIB, NGFR, NSMAF, PDPK1, PIK3CB, PIK3R1, PIK3R3, PKM, PPARG, PRKAA1, PRKAB1, PRKAB2, PRKAG3, PRKCE, PRKCI, PRKCQ, RELA, SLC27A1, SLC2A4, SOCS2, SOCS3, SOCS7, TNFRSF11B, TNFRSF1B, TRAF2		positive
Integrin Signaling	2.07	0	0.574	ACTA1, ACTA2, ACTB, ACTC1, ACTN2, ACTN4, AKT1, AKT2, AKT3, ARHGAP5, ARPC1B, ARPC3, ARPC4, ASAP1, BCAR1, BCAR3, CAPN1, CAPN2, CAPN3, CAPN7, CAPNS1, CAV1, CRK, CTTN, FNBP1, HRAS, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, KRAS, MAP2K1, MAPK3, MAPK8, MPRIP, MRAS, MYL9, MYLK, MYLK3, NCK2, NEDD9, NRAS, PAK4, PARVA, PDGFB, PIK3CB, PIK3R1, PIK3R3, PIKFYVE, PTK2, RALA, RAPGEF1, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, ROCK1, RRAS, TLN2, TSPAN3, TSPAN7, TTN, VCL, Wasl, WIPF1, ZYX		no direction
Semaphorin Signaling in Neurons	2.03	0	0.688	ARHGEF12, CFL2, FNBP1, ITGB1, MAPK3, MET, NRP1, PAK4, PLXNB1, PTK2, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, ROCK1, SEMA3A, SEMA4D		no direction
NF-κB Activation by Viruses	1.93	0.928	0.644	AKT1, AKT2, AKT3, EIF2AK2, HRAS, IKBKB, IKBKG, ITGA3, ITGA6, ITGAV, ITGB1, KRAS, MAP3K1, MAPK3, MRAS, NFKB1, NFKBIA, NFKBIB, NRAS, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, RALA, RELA, RRAS, TRAF2		positive
HGF Signaling	1.9	-0.845	0.603	AKT1, AKT2, AKT3, CCND1, CDKN1A, ELF1, ETS1, ETS2, HRAS, IL6, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, JUN, KRAS, MAP2K1, MAP2K7, MAP3K1, MAP3K10, MAP3K2, MAP3K5, MAPK12, MAPK3, MAPK8, MET, MRAS, NRAS, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, PTGS2, PTK2, PTPN11, RALA, RAPGEF1, RRAS, STAT3		negative
Cardiac Hypertrophy Signaling (Enhanced)	1.87	-0.085	0.531	ACE, ACVR1, ACVR2A, ADCY5, ADCY8, ADRB2, AKAP13, AKT1, AKT2, AKT3, ATF6, ATP2A1, ATP2A3, BMPR2, CACNA1C, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CAMK2D, CAMK2G, CHP1, CSF2RB, CTF1, CTNNB1, DVL3, EDN1, EIF2B2, EIF2B4, EIF4EBP1, FGF1, FGF12, FGF13, FGF16, FGF18, FGF2, FGF6, FGFR2, FGFRL1, FZD7, GHR, GNA13, GNAI2, GNB1, GNB2, GNG2, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, HRAS, HSPB3, HSPB7, IKBKB, IKBKG, IL12RB2, IL15, IL17F, IL17RA, IL17RC, IL17RD, IL17RE, IL1R1, IL33, IL4R, IL6, IL6R, IL6ST, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, ITPR2, JUN, KRAS, LTB, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K1, MAP3K10, MAP3K2, MAP3K20, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MAPKAPK2, MAPKAPK3, MEF2A, MEF2C, MEF2D, MKNK1, MKNK2, MRAS, MTOR, NFAT5, NFATC1, NFATC2, NFKB1, NGFR, NRAS, PDE1C, PDE7A, PDE7B, PDE8A, PDIA3, PDK1, PIK3CB, PIK3R1, PIK3R3, PLCD4, PPP3CA, PPP3CB, PPP3R1, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PRKG1, PTGS2, PTK2, RALA, RCAN1, RELA, RHOA, ROCK1, RPS6KA5, RRAS, RYR1, RYR3, SRF, STAT3, TGFB1, TGFB2, TGFB3, TGFBR2, TNFRSF11B, TNFRSF1B, TNFSF12, TSC2, WNT9A		negative
Hepatic Fibrosis Signaling Pathway	1.85	-0.647	0.537	ACTA2, ACVR1, ACVR2A, AKT1, AKT2, AKT3, ATF4, BMPR2, CACNA1C, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CASP3, CCDC88A, CCL5, CCN2, CCND1, CNR1, COL1A2, COL3A1, COL5A3, CREB3L2, CSNK1A1, CSNK1E, CTNNB1, DVL3, EDN1, EZH2, FGF2, FNBP1, FOXO1, FOXO4, FTH1, FZD7, GLI3, GNAI2, HRAS, IKBKB, IKBKG, IL17RA, IL1R1, IL1RAP, IL33, IRAK1, IRAK2, IRS2, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, JUN, KLF9, KRAS, LRP1, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, MTOR, MYD88, MYL1, MYL4, MYL9, MYLK, MYLK3, MYLPF, NFKB1, NFKBIA, NFKBIB, NGFR, NRAS, PDCD4, PDGFA, PDGFB, PDGFC, PDGFRA, PDK1, PIK3CB, PIK3R1, PIK3R3, PPARG, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PTK2, RALA, RELA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, ROCK1, RRAS, SDHD, SMAD3, SMAD4, SPP1, STAT3, TF, TFRC, TGFB1, TGFB2, TGFB3, TGFBR2, TLR4, TNFRSF11B, TNFRSF1B, TRAF6, TTN, VCAM1, VEGFD, WNT9A, YAP1		negative
RHOGDI Signaling	1.81	1.021	0.57	ACTA1, ACTA2, ACTB, ACTC1, ARHGAP5, ARHGAP6, ARHGDIA, ARHGEF1, ARHGEF12, ARHGEF17, ARHGEF9, ARPC1B, ARPC3, ARPC4, CD44, CDH10, CDH15, CDH17, CDH2, CDH23, CDH5, CFL2, DGKZ, DLC1, ESR1, EZR, FNBP1, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, MRAS, MYH1, MYH2, MYH3, MYH4, MYH8, MYH9, MYL1, MYL4, MYL9, MYLPF, PAK4, PIKFYVE, RDX, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, ROCK1, WASF2		positive
Caveolar-mediated Endocytosis Signaling	1.78	0	0.636	ACTA1, ACTA2, ACTB, ACTC1, B2M, CAV1, CAVIN1, COPA, COPB2, COPG2, EGFR, FLNA, FLNB, FLNC, FLOT1, HLA-A, INSR, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, ITSN1, MAP3K2, MR1, RAB5C		no direction
CLEAR Signaling Pathway	1.78	1.54	0.542	AKT1, AKT1S1, AKT2, AKT3, ATF4, ATP6AP1, ATP6AP2, ATP6V0A1, ATP6V0C, ATP6V0D1, ATP6V0E2, ATP6V1A, ATP6V1C1, ATP6V1E1, BMPR1B, BMPR2, CHP1, CREB3L2, CTSD, CTSF, DDIT4, EGFR, FGF2, FGFR2, FLCN, GAA, GBA, GHR, GLB1, GLMP, GNS, GUSB, HEXA, HPS5, HRAS, IKBKB, INSR, ITPR2, KRAS, LAMP1, LAMTOR2, LAMTOR5, MAP4K3, MAPK12, MAPK14, MAPK3, MAPK7, MCOLN1, MRAS, MTOR, NAGLU, NAGPA, NEU1, NGFR, NR1H4, NRAS, PDGFB, PDGFRA, PINK1, PPARA, PPARGC1A, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PPP3CA, PPP3CB, PPP3R1, PRKAA1, PRKAB1, PRKAB2, PRKAG3, PRKCE, PRKCI, PRKCQ, PRKN, PSAP, RALA, RPTOR, RRAGC, RRAGD, RRAS, SEC13, SEH1L, SLC36A1, STK4, STUB1, SUMF1, TFE3, TGFA, TGFB1, TGFB2, TGFBR2, TLR1, TLR4, TLR5, TLR6, TNFRSF11B, TNFRSF1B, TP53, TSC1, TSC2, VPS33A, VPS35, YWHAB, YWHAG, YWHAZ, ZKSCAN3		positive
Reelin Signaling in Neurons	1.74	-0.617	0.59	AFDN, AKT1, AKT2, AKT3, APOE, APP, ARHGEF1, ARHGEF10L, ARHGEF12, ARHGEF17, ARHGEF9, ARPC1B, ARPC3, ARPC4, CAMK2D, CAMK2G, CDH2, CNR1, CRK, GRIN1, GRIN2A, GRINA, ITGA3, ITGB1, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K10, MAPK12, MAPK3, MAPK8, MAPK8IP1, MAPT, MTOR, NDEL1, NECTIN3, PAFAH1B2, PDK1, PDK4, PIK3CB, PIK3R1, PIK3R3, RAPGEF1, RHOA, VLDLR		negative
Regulation of Actin-based Motility by Rho	1.73	-0.898	0.607	ACTA1, ACTA2, ACTB, ACTC1, ARHGDIA, ARPC1B, ARPC3, ARPC4, BAIAP2, FNBP1, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, MPRIP, MYL1, MYL4, MYL9, MYLK, MYLPF, PAK4, PIKFYVE, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, ROCK1, Wasl, WIPF1		negative
Autophagy	1.73	-1.342	0.553	AKT1, AKT1S1, AKT2, AKT3, ARL8B, ATF4, ATG13, ATG2A, ATG9A, ATG9B, Calm1 (includes others), CHP1, CREB3L2, DAPK2, DDIT3, EPG5, FGF2, FOXO1, FUNDC1, INSR, IRS1, IRS2, JUN, LAMP1, LAMP2, MAP1LC3A, MAP1LC3B, MAP2K1, MAP2K7, MAPK12, MAPK3, MAPK8, MTOR, MYD88, NFKB1, NGFR, PDGFB, PIK3CB, PIK3R1, PIK3R3, PLEKHM1, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PPP3CA, PPP3CB, PPP3R1, PRKAA1, PRKAB1, PRKAB2, PRKACA, PRKAG3, PRKAR1A, PRKAR2B, PRKCQ, RALA, RB1CC1, RPTOR, SESN1, SLC1A5, SLC3A2, SLC7A5, SQSTM1, STX17, TGFA, TGFB1, TGFB2, TLR4, TNFRSF11B, TNFRSF1B, TP53, TRAF3, TRAF6, TSC1, TSC2, ULK1, VAMP8, VPS33A, VPS39, VPS41, WIPI1		negative
FGF Signaling	1.66	0.354	0.611	AKT1, AKT2, AKT3, ATF4, CREB3L2, CRK, FGF1, FGF12, FGF13, FGF16, FGF18, FGF2, FGF6, FGFR2, FGFRL1, HRAS, MAP2K1, MAP2K3, MAP2K6, MAP3K1, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK8, MAPKAPK2, MET, PIK3CB, PIK3R1, PIK3R3, PTPN11, RPS6KA5, STAT3		positive
Calcium Signaling	1.66	-2.03	0.554	ACTA1, ACTA2, ACTC1, ATF4, ATP2A1, ATP2A3, ATP2B1, ATP2B3, ATP2B4, ATP2C1, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CALR, CAMK2D, CAMK2G, CASQ1, CHP1, CHRNB1, CHRNE, CREB3L2, GRIN1, GRIN2A, GRINA, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, ITPR2, MAPK3, MCU, MEF2A, MEF2C, MEF2D, MICU1, MYH1, MYH2, MYH3, MYH4, MYH8, MYH9, MYL1, MYL4, MYL9, NFAT5, NFATC1, NFATC2, PPP3CA, PPP3CB, PPP3R1, PRKACA, PRKAR1A, PRKAR2B, RCAN1, RYR1, RYR3, SLC8A3, SLC8B1, TNNC1, TNNI1, TNNI2, TNNI3, TNNT1, TNNT2, TNNT3, Tpm1, Tpm2, TPM3, TRPC1, TRPC3		negative
Signaling by Rho Family GTPases	1.66	-0.384	0.555	ACTA1, ACTA2, ACTB, ACTC1, ARHGEF1, ARHGEF12, ARHGEF17, ARHGEF9, ARPC1B, ARPC3, ARPC4, BAIAP2, CDC42EP3, CDH10, CDH15, CDH17, CDH2, CDH23, CDH5, CFL2, CLIP1, EZR, FNBP1, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, JUN, MAP2K1, MAP2K7, MAP3K10, MAP3K20, MAPK12, MAPK3, MAPK8, MRAS, MYL1, MYL4, MYL9, MYLK, MYLPF, NFKB1, PAK4, PIK3CB, PIK3R1, PIK3R3, PIKFYVE, PRKCI, PTK2, RDX, RELA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, ROCK1, SEPTIN11, SEPTIN7, SEPTIN8, SEPTIN9, SLC9A1, WIPF1		negative
Calcium Transport I	1.65	-0.378	0.875	ANXA5, ATP2A1, ATP2A3, ATP2B1, ATP2B3, ATP2B4, ATP2C1		negative
Inhibition of ARE-Mediated mRNA Degradation Pathway	1.64	1.234	0.569	AGO2, AGO4, AKT1, AKT2, AKT3, CNOT2, CNOT3, CNOT6, CNOT7, CNOT8, CNOT9, DDX6, EXOSC7, LTB, MAPK12, MAPK14, MAPK3, MAPK7, MAPKAPK2, NGFR, PABPN1, PAPOLA, PARN, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PRKACA, PRKAR1A, PRKAR2B, PSMA1, PSMA2, PSMA4, PSMA7, PSMB1, PSMB2, PSMB7, PSMC2, PSMC3, PSMD1, PSMD11, PSMD12, PSMD14, PSMD4, PSMD5, PSMD6, PSME1, PSME4, TIA1, TNFRSF11B, TNFRSF1B, TNFSF12, YWHAB, YWHAG, YWHAZ, ZFP36L1, ZFP36L2		positive
HOTAIR Regulatory Pathway	1.63	-0.457	0.584	AEBP2, AGO2, AGO4, AKT1, AKT2, AKT3, AR, CD44, CDKN1A, COL1A2, COL3A1, CTNNB1, ERBB2, ESR1, EZH2, H3-3A/H3-3B, HDAC2, IRF1, JARID2, KDM1A, KMT2A, KMT2C, LAMTOR5, MET, MMP14, MTF2, NFKB1, NFKBIA, PIK3CB, PIK3R1, PIK3R3, RCOR1, RELA, RHOC, ROCK1, SNAI2, SPP1, SRF, STAT3, STK38, TGFB1, TLR4, TWIST1, WNT9A, YY1		negative
Ephrin Receptor Signaling	1.61	-0.302	0.562	ABI1, ADAM10, AKT1, AKT2, AKT3, ARPC1B, ARPC3, ARPC4, ATF4, BCAR1, CFL2, CREB3L2, CRK, EFNB1, EPHA3, EPHA7, EPHB2, EPHB3, EPHB6, FGF1, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, GRIN1, GRIN2A, GRINA, HRAS, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, ITSN1, KRAS, MAP2K1, MAPK3, MRAS, NCK2, NRAS, PAK4, PDGFA, PDGFB, PDGFC, PTK2, PTPN11, RALA, RAPGEF1, RASA1, RHOA, ROCK1, RRAS, SDC2, SDCBP, SORBS1, STAT3, VEGFD, Wasl, WIPF1		negative
PAK Signaling	1.59	-1.461	0.597	ARHGAP10, CASP3, CFL2, EPHA3, EPHB3, HRAS, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, KRAS, MAP2K1, MAPK12, MAPK3, MAPK8, MRAS, MYL1, MYL4, MYL9, MYLK, MYLPF, NCK2, NRAS, PAK4, PDGFA, PDGFB, PDGFC, PDGFRA, PIK3CB, PIK3R1, PIK3R3, PTK2, RALA, RRAS		negative
ILK Signaling	1.59	-1.116	0.556	ACTA1, ACTA2, ACTB, ACTC1, ACTN2, ACTN4, AKT1, AKT2, AKT3, ATF4, CASP3, CCND1, CFL2, CREB3L2, CTNNB1, DSP, FBLIM1, FERMT2, FLNA, FLNB, FLNC, FNBP1, IRS1, IRS2, ITGB1, JUN, MAP2K6, MAPK12, MAPK3, MAPK8, MTOR, MYH1, MYH2, MYH3, MYH4, MYH8, MYH9, MYL1, MYL4, MYL9, NCK2, NFKB1, PARVA, PDGFC, PDPK1, PIK3CB, PIK3R1, PIK3R3, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PTGS2, PTK2, RELA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, RPS6KA5, SNAI2, VCL, VEGFD		negative
Axonal Guidance Signaling	1.58	0	0.529	ABLIM1, ABLIM2, ACE, ADAM10, ADAM19, ADAM9, ADAMTS1, ADAMTS10, ADAMTS12, ADAMTS20, ADAMTS4, ADAMTS5, ADAMTS9, AKT1, AKT2, AKT3, ARHGEF12, ARPC1B, ARPC3, ARPC4, BAIAP2, BCAR1, BDNF, BMP8A, CFL2, CHP1, COPS5, CRK, EFNB1, EIF3F, EPHA3, EPHA7, EPHB2, EPHB3, EPHB6, ERBB2, FZD7, GLI3, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, HRAS, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, ITSN1, KRAS, LNPEP, MAP2K1, MAPK3, MET, MKNK1, MMP14, MRAS, MYL1, MYL4, MYL9, MYLPF, NCK2, NFAT5, NFATC1, NFATC2, NGFR, NRAS, NRP1, NRP2, NTF3, NTNG1, PAK4, PAPPA, PAPPA2, PDGFA, PDGFB, PDGFC, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, PLXNB1, PPP3CA, PPP3CB, PPP3R1, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PSMD14, PTK2, PTPN11, RALA, RASA1, RASSF5, RHOA, RND1, ROCK1, RRAS, RTN4, SDC2, SDCBP, SEMA3A, SEMA3C, SEMA3D, SEMA3F, SEMA4C, SEMA4D, SEMA6A, SEMA6D, SRGAP3, STK36, SUFU, TUBA1A, TUBB, TUBB2B, TUBB6, TUBG1, VEGFD, Wasl, WIPF1, WNT9A		no direction
