category	functions	disease	pvalue	state	zscore	Notes	bias_zscore	molecules	no_molecules
Cell Death and Survival, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	cell death	Cell death of myofiber	0.00303	 	0.817	 	0.832	PLEC, SGCB, CAV3, SLC8A3, TSC22D3, MAML1, PRKAB1, PFKM, DMD, PRKAB2	10
Cell Death and Survival, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	cell death	Cell death of muscle cells	0.00329	Increased	2.407	 	2.425	SGCB, USP19, CAV3, PRKN, ALS2, APP, YAP1, PRKAB1, ITGA7, PLEC, SCYL1, SLC8A3, TSC22D3, DICER1, MYH4, EPG5, MAML1, PFKM, APIP, TTN, TNNT1, DMD, PRKAB2	23
Skeletal and Muscular System Development and Function	contraction	Muscle contraction	0.00329	Increased	2.619	 	2.61	ADRB2, CAV3, C12orf57, MTOR, TNNC1, TNNI2, CHRNE, PRKAA1, CHRNB1, GAA, DIO2, STAC3, AR, HOMER1, MYH3, TRIM54, SLC8A3, TNNT3, MYH8, TNNT1, BDNF, TRIM63, DMD	23
Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	atrophy	Atrophy of muscle	0.00352	 	0.675	 	0.677	USP19, SQSTM1, AKT1, MYD88, CHRNE, NDRG1, BNIP3L, GJC1, IL6, ITGA7, ATF3, TLR4, SCYL1, DNM1L, MFN2, MYH4, HTT, DICER1, MET, CBLB, DDX5, HSD11B1, HDAC4, TNNT1, TRAF6, HDAC5, ALS2, ZNF106, H6PD, IKBKB, KL, AKT2, RELA, ATF4, HDAC6, ZFAND5, EPG5, FBXO32, MYOG, GADD45A, TTN	41
Organ Development, Organ Morphology, Skeletal and Muscular System Development and Function	size	Size of skeletal muscle	0.00457	 	0	 	0	AKT1, PIK3R1, LMNA, ITGA7, MYF5, SCYL1, DUSP1, MYH4, RYR1, CDKN1A, MET, FLNC, Cdkn1c, TNNT1, TRIM63, DMD, LAMA2, CAV3, APOBEC2, IKBKB, AKT2, HEYL, PLEC, EPG5, MAML1, FST, LBX1, MMP14, PRKAB2	29
Cell Morphology, Organ Morphology, Skeletal and Muscular System Development and Function, Tissue Morphology	size	Size of muscle cells	0.00516	 	0	 	0	AKT1, PRKAA1, PRKAB1, PIK3R1, ITGA7, LMNA, SCYL1, MYF5, MYH4, DUSP1, RYR1, CDKN1A, FLNC, mir-1, Cdkn1c, TNNT1, TRIM63, DMD, LAMA2, CAV3, NFKB1, APOBEC2, IFT88, AKT2, HEYL, PLEC, AR, ATF4, EPG5, MAML1, VDR, OPA1, ULK2, MMP14, PRKAB2	35
Organ Morphology, Skeletal and Muscular System Development and Function	contraction	Contraction of skeletal muscle	0.00518	Increased	2.425	 	2.418	ADRB2, CAV3, C12orf57, MTOR, TNNC1, TNNI2, CHRNE, PRKAA1, CHRNB1, GAA, DIO2, STAC3, AR, HOMER1, MYH3, TRIM54, SLC8A3, TNNT3, MYH8, TNNT1, DMD, TRIM63	22
Cell Morphology, Organ Morphology, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Morphology	abnormal morphology	Abnormal morphology of skeletal muscle cells	0.00532	 	0	 	0	SYNM, IL6, SGCA, PPARGC1A, CACNB1, MYH4, RYR1, TRIO, FLNC, PFKM, HSD11B1, LAMA2, CAV3, ALS2, H6PD, GAA, CFL2, SCYL3, PLEC, SKI, CAV1, ILF3, FST, ACTA1, Meg3, MMP14	26
Embryonic Development, Organ Development, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	formation	Formation of muscle	0.00541	 	-0.508	 	-0.514	TGFB1, PRKCQ, MYH9, CCNT2, MYF5, CAPN3, PPARGC1A, DICER1, RYR1, ERBB2, RGS2, NF1, DMD, TCAP, HDAC5, MAPK12, IGFBP5, Wasl, FGF2, MYOD1, Lncpint, CFL2, AR, Foxp2, VAMP5, ACTA1, MSC, FLNB, MAPK14, F2RL1, PITX2, CACNA1S, ACTC1, GPCPD1, FGFRL1, ZBTB18, TRIO, MET, SIX1, MYF6, MEF2C, NR2F2, RHOA, PAX7, PLEC, CAV1, MYLPF, VGLL2, MYOZ2, MYOG, Meg3, APOE, ICMT, LBX1, CSRP3, TTN	56
Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	myopathy	Myopathy of skeletal muscle	0.00726	 	0.051	 	0.059	SQSTM1, HDAC2, MCOLN1, ZNF106, BNIP3L, PPARA, YAP1, LMNA, RELA, LPIN1, DNM1L, TRIM54, MFN2, DUSP1, DDX5, DGKZ, TRIM63	17
Cell Morphology, Organ Morphology, Skeletal and Muscular System Development and Function, Tissue Morphology	diameter	Diameter of muscle cells	0.00806	 	0	 	0	SLC6A6, PPP3CB, SYNM, PPP3CA, PIK3R1, PAX7, RELA, SCYL3, AR, PLEC, SCYL1, MYF5, SKI, MYH3, COLQ, DUSP1, ACTA1, SPP1, TNNT1, DMD, PLA2G4A	21
Cell Morphology	size	Size of cells	0.00954	 	0	 	0	AKT1, PRKAA1, PRKAB1, PIK3R1, ITGA7, LMNA, SCYL1, MYF5, DUSP1, MYH4, RYR1, CDKN1A, FLNC, mir-1, Cdkn1c, TNNT1, TRIM63, BDNF, DMD, LAMA2, VAMP1, CAV3, NFKB1, APOBEC2, IFT88, AKT2, HEYL, PLEC, AR, SLN, ATF4, EPG5, MAML1, VDR, OPA1, ULK2, MMP14, PRKAB2	38
Cell Death and Survival	cell death	Cell death of muscle	0.0099	Increased	2.84	 	2.86	USP19, YAP1, PRKAB1, ITGA7, SCYL1, LPIN1, DICER1, TSC22D3, MYH4, EGLN1, PFKM, TNNT1, DMD, SGCB, CAV3, PRKN, ALS2, APP, PLEC, NRAS, SLC8A3, EPG5, EGLN2, MAML1, APIP, TTN, PRKAB2	27
Organ Morphology, Skeletal and Muscular System Development and Function, Tissue Morphology	quantity	Quantity of muscle spindle	0.0102	 	-0.97	 	-0.98	ETV1, EGR3, NGFR, ERBB2, NTF3, BACE1	6
Organ Morphology, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function	abnormal morphology	Abnormal morphology of muscle spindle	0.0102	 	0	 	0	ETV1, EGR3, NGFR, NTF3, BAX, BACE1	6
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Organ Development, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	formation	Formation of muscle cells	0.0105	 	0	 	0	TCAP, AR, HDAC5, PRKCQ, RYR1, MAPK12, ACTC1, ACTA1, TTN, DMD	10
Respiratory System Development and Function	morphology	Morphology of respiratory system	0.0107	 	0	 	0	FBN1, TGFB1, MYCBP2, ATP2A1, ADAM19, HADHA, ITGA7, PAX7, FGFRL1, SRF, CDKN1A, ILF3, MET, MYOG, FLNC, Cdkn1c, TTN, DMD, MMP14	19
Skeletal and Muscular System Development and Function	force generation	Force generation	0.0116	 	-1.294	 	-1.303	HOMER1, AR, PPARGC1A, MTOR, TNFSF12, NEB, ATP1A2, JPH1	8
Cell Morphology, Developmental Disorder, Organ Morphology, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Morphology	hypertrophy	Hypertrophy of hindlimb muscle	0.0116	 	0	 	0	PPARGC1A, CTNNB1, PRKAA1, FST, DGKZ, ADGRG1, mir-1, SNTA1	8
Organismal Development, Skeletal and Muscular System Development and Function	morphology	Morphology of hindlimb	0.0117	 	0	 	0	USP19, IGFBP4, TNFSF12, THRA, PRKAA1, CNR1, ACVR2A, ITGA7, MB, HIF1AN, SGCA, PPARGC1A, MYOF, FLNC, DGKZ, HSD11B1, SPP1, TRIM63, DMD, ESR1, SGCB, MTOR, APOBEC2, USP14, H6PD, IGFBP5, ANGPTL2, AR, SRF, OPA1, HACD1, SSPN, FST, TTN, INHBB	35
Cell Morphology, Organ Morphology, Skeletal and Muscular System Development and Function, Tissue Morphology	diameter	Diameter of skeletal muscle cells	0.0118	 	0	 	0	SLC6A6, PPP3CB, SYNM, PPP3CA, PAX7, RELA, PLEC, SCYL3, MYF5, SCYL1, SKI, MYH3, DUSP1, ACTA1, TNNT1, PLA2G4A	16
Organismal Development, Skeletal and Muscular System Development and Function	morphology	Morphology of limb	0.0124	 	0	 	0	USP19, IGFBP4, TNFSF12, PRKAA1, THRA, CNR1, ACVR2A, ITGA7, MB, HIF1AN, SGCA, MYOF, PPARGC1A, FLNC, DGKZ, HSD11B1, SPP1, TRIM63, ESR1, DMD, SGCB, MTOR, USP14, APOBEC2, H6PD, NTF3, IGFBP5, ANGPTL2, AR, SRF, HACD1, OPA1, FST, SSPN, TTN, INHBB	36
Cell Morphology, Organ Development, Organ Morphology, Skeletal and Muscular System Development and Function, Tissue Morphology	size	Size of skeletal muscle cells	0.0131	 	0	 	0	AKT1, PIK3R1, LMNA, ITGA7, SCYL1, MYF5, DUSP1, MYH4, RYR1, CDKN1A, FLNC, Cdkn1c, TNNT1, TRIM63, DMD, LAMA2, CAV3, APOBEC2, AKT2, HEYL, PLEC, EPG5, MAML1, MMP14, PRKAB2	25
Cell Death and Survival, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	necrosis	Necrosis of muscle	0.0144	Increased	2.84	 	2.86	USP19, YAP1, PRKAB1, ITGA7, SCYL1, LPIN1, DICER1, TSC22D3, MYH4, EGLN1, PFKM, TNNT1, DMD, SGCB, CAV3, PRKN, ALS2, APP, PLEC, SLC8A3, EPG5, EGLN2, MAML1, APIP, TTN, PRKAB2	26
Cellular Compromise, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Tissue Morphology	degeneration	Degeneration of myofiber	0.0154	 	0.777	 	0.797	SGCB, SGCA, HDAC2, MYOF, PPARGC1A, EPG5, PFKM, SYNM, COQ8A, DMD, CFL2	11
Cellular Compromise, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Tissue Morphology	degeneration	Degeneration of muscle cells	0.0155	 	0.507	 	0.527	SGCB, HDAC2, FGF6, HADHA, SYNM, CFL2, CD47, SGCA, MYOF, PPARGC1A, EPG5, PFKM, COQ8A, DMD	14
Organ Morphology, Organismal Injury and Abnormalities, Respiratory Disease, Respiratory System Development and Function, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function	abnormal morphology	Abnormal morphology of diaphragm	0.0165	 	0	 	0	FBN1, TGFB1, MYCBP2, ATP2A1, ADAM19, HADHA, ITGA7, PAX7, FGFRL1, CDKN1A, ILF3, MET, MYOG, FLNC, Cdkn1c, TTN, DMD, MMP14	18
Skeletal and Muscular System Development and Function	contractility	Contractility of muscle	0.0188	Decreased	-2.357	 	-2.38	MYH1, COL6A3, CHRNE, ATP2A1, STAC3, CACNB1, MYH4, CKMT2, SLC2A4, RYR1, CKM, TNNT1, JPH1, SNTA1, SRL	15
Organ Morphology, Skeletal and Muscular System Development and Function	quantity	Quantity of skeletal muscle	0.019	 	-1.766	 	-1.773	ETV1, FGF6, STK40, MYF6, NTF3, PPP3CB, SYNM, PPP3CA, MYOD1, HEYL, PAX7, RELA, MYH3, STAT3, NGFR, EGR3, MYH4, MYLPF, RYR1, ERBB2, FLNC, DUSP6, BACE1, MSC	24
Carbohydrate Metabolism	quantity	Quantity of carbohydrate	0.019	 	-0.72	 	-0.724	JUN, ACVR2A, PRKAG3, UCP3, INPPL1, LPIN1, STBD1, LDLR, PPARGC1A, RYR1, CKM, PFKM, DGKZ, HSD11B1, HK2, MTOR, IRS2, NUAK1, GBE1, H6PD, GAA, NHLRC1, PPARD, RPTOR, SLC2A4, ACACB, ACTA1, PPP1R3A, KEAP1, PRKAB2	30
Skeletal and Muscular System Development and Function	quantity	Quantity of muscle	0.02	 	-1.446	 	-1.451	ETV1, MAPK14, FGF6, TNFSF12, PRKCQ, SYNM, PIK3R1, DIO2, MYH3, STAT3, COLQ, PPARGC1A, HTT, MYH4, RYR1, ERBB2, FLNC, JPH1, BDNF, BACE1, STK40, MYF6, RCAN1, NTF3, PPP3CB, PPP3CA, MYOD1, HEYL, PAX7, RELA, AR, EGR3, NGFR, MYLPF, MYOZ2, FST, DUSP6, KEAP1, MSC	39
Organismal Development, Skeletal and Muscular System Development and Function	mass	Mass of hindlimb muscle	0.0201	 	0	 	0	USP19, IGFBP4, TNFSF12, PRKAA1, THRA, CNR1, ACVR2A, HIF1AN, SGCA, PPARGC1A, DGKZ, HSD11B1, SPP1, TRIM63, ESR1, DMD, SGCB, MTOR, USP14, APOBEC2, H6PD, IGFBP5, ANGPTL2, AR, SRF, HACD1, OPA1, SSPN, FST, TTN, INHBB	31
Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function	abnormal morphology	Abnormal morphology of soleus muscle	0.0219	 	0	 	0	MB, MYOF, APOBEC2, FLNC, ITGA7	5
Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	myopathy	Myopathy of gastrocnemius	0.0219	 	1.387	 	1.4	SQSTM1, LPIN1, MFN2, DUSP1, MCOLN1	5
Organ Development, Skeletal and Muscular System Development and Function	force generation	Force generation of skeletal muscle	0.0225	 	-0.956	 	-0.964	HOMER1, AR, PPARGC1A, MTOR, TNFSF12, NEB, JPH1	7
Organismal Functions	endurance	Endurance	0.0225	 	0.239	 	0.231	PPARGC1A, ATP1A1, NR4A3, PRKAA1, CNR1, KEAP1, DMD	7
Cellular Development, Skeletal and Muscular System Development and Function, Tissue Development	differentiation	Differentiation of skeletal muscle cells	0.0239	 	1	 	1.004	CDH2, MAPK14, AKT1, MED20, BNIP2, MTLN, ASB2, ATF3, MYF5, BTG2, STAT3, ANKRD1, SNW1, SAP30, YBX1, MEF2D, mir-1, PMP22, KRAS, SMYD1, NOTCH1, MYF6, LEMD3, IGFBP5, Cops2, EGR1, FGF2, KLHL41, MYOD1, MEF2C, HEYL, EZH2, EOMES, SOX11, MAP2K6	35
Cell Morphology, Organ Morphology, Skeletal and Muscular System Development and Function, Tissue Morphology	size	Size of myofiber	0.0251	 	0	 	0	NFKB1, IFT88, PRKAA1, PRKAB1, PIK3R1, AR, ATF4, OPA1, VDR, mir-1, DMD, ULK2, PRKAB2	13
Carbohydrate Metabolism, Molecular Transport	quantity	Quantity of glycogen	0.0273	 	-0.515	 	-0.517	JUN, IRS2, NUAK1, GBE1, H6PD, PRKAG3, INPPL1, GAA, NHLRC1, PPARD, STBD1, RPTOR, SLC2A4, RYR1, CKM, ACACB, ACTA1, PFKM, HSD11B1, PPP1R3A, KEAP1, HK2, PRKAB2	23
Cell Morphology, Organ Morphology, Skeletal and Muscular System Development and Function, Tissue Morphology	morphology	Morphology of myofiber	0.0282	 	0	 	0	NFKB1, IFT88, TNFSF12, PRKAA1, PRKAB1, PIK3R1, AR, ATF4, PPARGC1A, COLQ, TRIO, OPA1, VDR, mir-1, SPP1, ULK2, DMD, PRKAB2	18
Cellular Development, Skeletal and Muscular System Development and Function, Tissue Development	differentiation	Differentiation of muscle	0.0287	 	-0.183	 	-0.187	CDH2, MAPK14, AKT1, MED20, BNIP2, MTLN, ASB2, ATF3, MYF5, BTG2, STAT3, ANKRD1, SNW1, SAP30, HOPX, YBX1, MEF2D, mir-1, PEG3, PMP22, KRAS, SMYD1, NOTCH1, MYF6, LEMD3, IGFBP5, TRIM27, Cops2, EGR1, FGF2, KLHL41, MYOD1, MEF2C, HEYL, TRIM54, EZH2, EOMES, SOX11, MYOG, SSPN, MAP2K6	41
Skeletal and Muscular System Development and Function	contractility	Contractility of skeletal muscle	0.0297	Decreased	-2.177	 	-2.199	MYH1, COL6A3, CHRNE, ATP2A1, STAC3, MYH4, CKMT2, CACNB1, SLC2A4, RYR1, CKM, JPH1, SNTA1, SRL	14
Embryonic Development, Organ Development, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	myogenesis	Myogenesis of skeletal muscle	0.0328	 	0.113	 	0.11	FLNB, MAPK14, F2RL1, TGFB1, PITX2, CACNA1S, GPCPD1, FGFRL1, MYH9, CCNT2, MYF5, CAPN3, ZBTB18, PPARGC1A, DICER1, TRIO, ERBB2, MET, RGS2, NF1, DMD, SIX1, HDAC5, MYF6, IGFBP5, FGF2, Lncpint, MYOD1, MEF2C, NR2F2, CFL2, PAX7, RHOA, PLEC, CAV1, Foxp2, VAMP5, MYLPF, VGLL2, MYOZ2, MYOG, Meg3, APOE, LBX1, ICMT, CSRP3, TTN, MSC	48
Organ Morphology, Tissue Development	regeneration	Regeneration of anterior tibial muscle	0.0336	 	-1.492	 	-1.502	MLX, USP19, PRNP, SRF, CRYAB, ITGB1, THRA, MET, PPP3CB, YAP1, ARID1A	11
Organ Morphology, Skeletal and Muscular System Development and Function	enlargement	Enlargement of skeletal muscle	0.034	 	0	 	0	CAV3, AKT1, CTNNB1, PRKAA1, PPP3CB, INPPL1, ADGRG1, PPP3CA, AR, PPARGC1A, FST, DGKZ, mir-1, DAG1, SNTA1	15
Cellular Assembly and Organization	quantity	Quantity of mitochondria	0.034	 	1.246	 	1.246	MTOR, APOBEC2, TNFSF12, ADIPOR1, PRKAB1, NR1D1, LPIN1, CAV1, SLN, HTT, SCD, SMARCD3, LPL, PNPLA8, PRKAB2	15
Cellular Development, Skeletal and Muscular System Development and Function, Tissue Development	differentiation	Differentiation of muscle cells	0.0348	 	1.195	 	1.194	CDH2, MAPK14, AKT1, MED20, BNIP2, MTLN, ASB2, ATF3, MYF5, BTG2, STAT3, ANKRD1, SNW1, SAP30, HOPX, YBX1, MEF2D, mir-1, PMP22, KRAS, SMYD1, NOTCH1, MYF6, LEMD3, IGFBP5, Cops2, EGR1, FGF2, KLHL41, MYOD1, MEF2C, HEYL, TRIM54, EZH2, EOMES, SOX11, MAP2K6	37
